Link ID,6:00-6:15,6:15-6:30,6:30-6:45,6:45-7:00,7:00-7:15,7:15-7:30,7:30-7:45,7:45-8:00,8:00-8:15,8:15-8:30,8:30-8:45,8:45-9:00,9:00-9:15,9:15-9:30,9:30-9:45,9:45-10:00,
36081,0.114636032,0.891795731,0.657965123,0.728689822,0.34185922,3.367073351,2.382808978,3.400030634,0.868522959,2.682834245,4.876939964,0.988215481,2.558537288,2.568838637,0.329017761,0.090884365,
36082,1.103448013,1.693632178,7.393754657,8.519003541,60.25962305,43.95784595,35.15340391,61.92836485,48.09919134,71.35162613,34.42198937,28.14304192,25.28852605,40.51606339,10.20067385,2.002013428,
36083,0.708880611,2.972661299,3.369028061,3.4394508,8.528091515,10.15012166,8.854804615,6.219833051,6.546817641,2.321044179,0.687127323,2.409004661,1.535594304,2.362366741,0.803886263,2.010253502,
36084,2.663349851,3.810889657,3.83403919,5.608233079,6.9775388,6.877825986,7.441641134,6.087527563,6.701004528,10.0503168,8.650413206,8.569734034,6.077520133,4.800623085,3.282114637,0.799478409,
36085,1.519388671,5.880036793,12.49462653,7.256484511,2.52026191,5.747147701,8.529585753,10.59913039,9.967295291,16.80671357,72.40515879,16.50642358,2.824087829,4.400933843,1.34135588,0.304857732,
36090,1.693850705,4.121908634,4.252254513,7.90667542,7.025756034,5.352391687,16.39436827,59.04498948,12.13698198,38.70607351,63.98973742,9.250790026,2.61825188,5.008396196,1.885382171,0.384307879,
36091,1.169888383,4.224377657,6.179677363,5.628586052,62.79742038,28.39966187,5.499924279,8.703669904,8.002516381,5.022241108,5.092294849,9.080116014,14.58975979,16.08444708,8.075634524,72.20328823,
36105,0.03467177,0.146147944,0.132584038,0.343371264,1.879411297,1.835984098,1.036605777,2.648681375,0.479647666,0.28519165,5.26205546,4.357978538,1.498609078,1.013825565,0.907611287,1.148185266,
36106,0.068258544,0.439189892,3.047252503,2.505662826,2.389723694,3.855109398,0.666893521,2.274077504,1.244113726,1.624214683,2.362380824,4.516559359,3.261076521,2.675089373,0.852932328,0.314519715,
36108,0.227744557,0.383194315,2.014443903,3.383030194,1.206808526,2.272149179,3.132912454,3.336165705,3.221637077,5.342024388,5.666532202,7.802661638,8.913283759,2.424361872,0,1.101553532,
36109,0.281223985,0.545101092,0.821848511,1.670657874,1.643156362,0.693157684,2.406917457,0.911584284,1.787404646,0.740806049,1.27391565,0.526141215,2.514767152,0.815520862,0.068909627,2.240548997,
36115,0.234211542,0.615803766,0.813881209,1.710147659,1.516885836,16.46611089,1.352090331,1.024865213,0.778803116,0.315770221,0.13549856,0.138215364,0.082028705,0.026480402,0.012077125,0.012501361,
36116,2.212545852,5.021381653,5.334758058,3.586058078,2.814277881,1.115844608,2.291842966,5.156029631,16.76197684,2.56620278,1.222481625,1.281001747,3.951386869,1.871088593,1.274841581,4.020154191,
36117,0.440975621,1.414660577,1.807835649,1.239356392,1.341682757,0.965366459,0.535340587,0.1018272,0.592387259,1.20972086,3.619587552,1.987585578,0.791272265,0.369243233,0,0,
36118,0.545676928,1.029463044,1.563806309,3.084107064,4.339333354,2.202134476,1.170268007,1.697119323,0.777927638,2.816593843,15.80073147,24.94817819,161.4285825,199.7692744,200,200,
36126,0,0.663823715,3.473526171,0.349715179,2.674342622,7.24664113,4.078860288,1.357048449,0.436816111,0.671335587,8.268792022,14.32028715,6.27862231,2.58177004,0.157671036,0.322768209,
36127,8.431035051,10.29781704,16.96288598,71.55886372,137.4782434,43.95383111,27.57635572,34.17309587,61.89911723,103.1055954,128.3237686,13.09971659,1.203714382,2.540775791,9.954228326,11.39399553,
36129,0,0.478709676,4.695376075,0,6.333144914,3.191060178,0.966339727,1.835103567,12.49004568,48.96346903,96.85595212,27.88095255,14.65115416,4.024344806,2.759305628,8.688612625,
36130,0.608319867,2.1210766,3.797488104,3.016084133,9.733095421,64.07212532,4.186374617,0.405558207,7.74871074,15.69030517,46.45586768,147.166432,8.845526754,1.07020059,1.244722884,4.968564257,
36131,4.141771648,9.166292381,24.32762655,19.28794816,27.81205617,34.65136286,63.35598617,25.93683996,21.80550932,19.89827371,17.08349169,16.6303149,46.71712476,59.74015106,166.596632,185.7142857,
